Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
107,SAWANTWADI R,MADGOAN JN.,10:25:00,12:10:00,78,4,0 days 01:45:00
108,MADGOAN JN.,SAWANTWADI R,20:30:00,22:25:00,83,4,0 days 01:55:00
128,MADGOAN JN.,CHHATRAPATI,19:40:00,17:45:00,978,22,0 days 22:05:00
290,DELHI-SAFDAR,DELHI-SAFDAR,18:30:00,02:30:00,2694,14,5 days 08:00:00
401,AURANGABAD,VARANASI JN.,21:30:00,10:00:00,1618,12,1 days 12:30:00
421,LUCKNOW JN.,SHRI MATA VA,23:00:00,08:00:00,1276,5,1 days 09:00:00
422,SHRI MATA VA,LUCKNOW JN.,11:45:00,14:30:00,1277,5,1 days 02:45:00
477,SIRSA,SIRSA,12:10:00,15:20:00,2616,14,2 days 03:10:00
502,RAJENDRANAGA,AMBALA CANTT,10:30:00,09:30:00,1206,9,0 days 23:00:00
504,PATNA JN.,BATHINDA JN,09:00:00,10:00:00,1313,3,1 days 01:00:00
506,PATNA JN.,PATIALA,14:15:00,15:45:00,1161,3,1 days 01:30:00
557,URKURA,PANJIPARA,23:30:00,11:00:00,1301,2,0 days 11:30:00
604,PATNA JN.,AMRITSAR JN.,12:30:00,16:00:00,1429,3,1 days 03:30:00
1011,CST-MUMBAI,NAGPUR JN.(C,00:20:00,14:20:00,841,18,0 days 14:00:00
1037,LOKMANYA TIL,SAWANTWADI R,01:10:00,10:30:00,513,10,0 days 09:20:00
1038,SAWANTWADI R,LOKMANYA TIL,14:05:00,00:20:00,503,10,0 days 10:15:00
1045,LOKMANYA TIL,KARMALI,01:10:00,11:00:00,563,11,0 days 09:50:00
1119,AJNI,KARMALI,19:50:00,20:30:00,1329,24,1 days 00:40:00
1120,KARMALI,AJNI,21:30:00,22:00:00,1319,24,1 days 00:30:00
1122,KARMALI,CST-MUMBAI,22:30:00,10:30:00,569,14,0 days 12:00:00
1196,NAGPUR JN.(C,KARMALI,19:50:00,21:30:00,1332,26,1 days 01:40:00
1301,PUNE JN.,MANGALORE JN,18:50:00,12:30:00,976,17,0 days 17:40:00
1302,MANGALORE JN,PUNE JN.,15:45:00,13:10:00,973,17,0 days 21:25:00
1442,DELHI-SAFDAR,KHADKI,11:15:00,02:15:00,1581,13,1 days 15:00:00
1655,PUNE JN.,JABALPUR,10:45:00,06:15:00,1050,13,0 days 19:30:00
1656,JABALPUR,PUNE JN.,19:30:00,14:05:00,1050,13,0 days 18:35:00
1705,BANDRA TERMI,JABALPUR,00:15:00,21:40:00,1261,14,0 days 21:25:00
1706,JABALPUR,BANDRA TERMI,14:20:00,11:15:00,1262,14,0 days 20:55:00
1707,JABALPUR,ATARI JN,09:15:00,11:45:00,1360,17,1 days 02:30:00
1708,ATARI JN,JABALPUR,14:45:00,17:20:00,1362,17,1 days 02:35:00
2025,CST-MUMBAI,KARMALI,05:00:00,13:20:00,579,7,0 days 08:20:00
2026,KARMALI,CST-MUMBAI,14:30:00,23:00:00,569,7,0 days 08:30:00
2191,JABALPUR,SANTRAGACHI,20:10:00,16:00:00,1123,16,0 days 19:50:00
2192,SANTRAGACHI,JABALPUR,20:40:00,15:50:00,1123,16,0 days 19:10:00
2195,REWA,BHOPAL,13:20:00,23:00:00,551,10,0 days 09:40:00
2196,BHOPAL,REWA,23:45:00,09:45:00,549,10,0 days 10:00:00
2515,TRIVANDRUM C,SILCHAR,00:05:00,05:00:00,3939,58,3 days 04:55:00
2651,PALANI,POLLACHI,07:45:00,09:10:00,62,3,0 days 01:25:00
2652,POLLACHI,PALANI,16:45:00,18:10:00,62,3,0 days 01:25:00
2731,HYDERABAD DE,JAIPUR JN.,16:25:00,06:25:00,1854,29,1 days 14:00:00
2732,JAIPUR JN.,HYDERABAD DE,14:35:00,02:00:00,1853,29,1 days 11:25:00
2821,PUNE JN.,SANTRAGACHI,10:30:00,18:15:00,2066,14,1 days 07:45:00
2822,SANTRAGACHI,PUNE JN.,18:30:00,02:45:00,2073,14,1 days 08:15:00
2833,RAJKOT,SANTRAGACHI,22:20:00,16:35:00,2332,29,1 days 18:15:00
2834,SANTRAGACHI,RAJKOT,21:05:00,13:45:00,2351,29,1 days 16:40:00
2841,SANTRAGACHI,CHENNAI CENT,12:40:00,15:20:00,1656,12,1 days 02:40:00
2842,CHENNAI CENT,SANTRAGACHI,18:20:00,23:30:00,1656,12,1 days 05:10:00
2845,PUNE JN.,HATIA,10:45:00,18:20:00,1770,17,1 days 07:35:00
2846,HATIA,PUNE JN.,21:00:00,02:45:00,1791,17,1 days 05:45:00
3101,KOLKATA,PURI,23:55:00,11:50:00,523,9,0 days 11:55:00
3102,PURI,KOLKATA,22:45:00,10:25:00,522,9,0 days 11:40:00
3301,ASANSOL MAIN,DHANBAD JN.,10:10:00,11:35:00,58,13,0 days 01:25:00
3302,DHANBAD JN.,ASANSOL MAIN,11:45:00,13:10:00,58,13,0 days 01:25:00
3305,DHANBAD JN.,KUSUNDA,11:30:00,11:50:00,3,2,0 days 00:20:00
3306,KUSUNDA,DHANBAD JN.,12:05:00,12:25:00,3,2,0 days 00:20:00
3307,SONARDIH,PHULWARTANR,14:40:00,15:15:00,4,4,0 days 00:35:00
3308,PHULWARTANR,SONARDIH,13:15:00,13:45:00,4,4,0 days 00:30:00
3501,JASIDIH JN.,ANAND VIHAR,18:30:00,14:10:00,1193,5,0 days 19:40:00
3502,ANAND VIHAR,JASIDIH JN.,19:50:00,17:30:00,1193,5,0 days 21:40:00
4401,ANAND VIHAR,SHRI MATA VA,22:20:00,13:00:00,710,13,0 days 14:40:00
4402,SHRI MATA VA,ANAND VIHAR,23:50:00,14:05:00,710,13,0 days 14:15:00
4409,DELHI JN.,SHRI MATA VA,21:10:00,11:30:00,653,7,0 days 14:20:00
4410,SHRI MATA VA,DELHI JN.,13:30:00,03:15:00,653,7,0 days 13:45:00
4419,MADGOAN JN.,HAZRAT NIZAM,10:40:00,16:55:00,1916,13,1 days 06:15:00
4420,HAZRAT NIZAM,MADGOAN JN.,15:35:00,19:40:00,1924,13,1 days 04:05:00
4735,BIKANER JN.,HARIDWAR JN,19:45:00,10:25:00,691,17,0 days 14:40:00
4736,HARIDWAR JN,BIKANER JN.,19:50:00,09:25:00,691,17,0 days 13:35:00
4767,HANUMANGARH,SHRI GANGANA,14:25:00,16:05:00,67,10,0 days 01:40:00
4768,SHRI GANGANA,HANUMANGARH,11:10:00,13:00:00,67,10,0 days 01:50:00
4769,HANUMANGARH,SHRI GANGANA,17:45:00,19:30:00,67,10,0 days 01:45:00
4770,SHRI GANGANA,HANUMANGARH,15:30:00,17:05:00,67,10,0 days 01:35:00
4771,SADULPUR JN,SHRI GANGANA,02:35:00,08:45:00,232,24,0 days 06:10:00
4772,SHRI GANGANA,SADULPUR JN,18:45:00,01:00:00,232,24,0 days 06:15:00
4773,SHRI GANGANA,SURATGARH JN,19:35:00,22:40:00,125,16,0 days 03:05:00
4774,SURATGARH JN,SHRI GANGANA,01:20:00,03:55:00,125,10,0 days 02:35:00
4801,PARVATSAR CI,MAKRANA JN.,06:30:00,07:30:00,21,3,0 days 01:00:00
4802,MAKRANA JN.,PARVATSAR CI,19:20:00,20:20:00,21,3,0 days 01:00:00
4831,JODHPUR JN.,HARIDWAR JN,13:30:00,10:45:00,882,22,0 days 21:15:00
4832,HARIDWAR JN,JODHPUR JN.,16:45:00,11:45:00,881,22,0 days 19:00:00
4851,MERTA ROAD J,RATANAGARH J,06:50:00,11:30:00,197,21,0 days 04:40:00
4852,RATANAGARH J,MERTA ROAD J,16:55:00,22:00:00,197,21,0 days 05:05:00
4853,RATANAGARH J,CHURU,11:55:00,13:10:00,42,6,0 days 01:15:00
4854,CHURU,RATANAGARH J,15:45:00,16:45:00,42,6,0 days 01:00:00
4921,SAHARANPUR J,AMBALA CANTT,04:45:00,06:30:00,81,13,0 days 01:45:00
4922,AMBALA CANTT,SAHARANPUR J,20:45:00,22:40:00,81,13,0 days 01:55:00
4991,PATHANKOT JN,JAMMU TAWI,14:40:00,17:10:00,99,14,0 days 02:30:00
4992,JAMMU TAWI,PATHANKOT JN,09:50:00,12:10:00,99,14,0 days 02:20:00
5061,GORAKHPUR JN,BARHNI,06:45:00,09:50:00,112,5,0 days 03:05:00
5062,BARHNI,GORAKHPUR JN,17:20:00,20:05:00,112,5,0 days 02:45:00
5065,CHHAPRA JN.,LUCKNOW JN.,19:30:00,08:15:00,503,15,0 days 12:45:00
5066,LUCKNOW JN.,CHHAPRA JN.,20:25:00,08:25:00,505,15,0 days 12:00:00
5105,GORAKHPUR JN,BASTI,11:45:00,13:35:00,64,4,0 days 01:50:00
5106,BASTI,GORAKHPUR JN,14:10:00,15:40:00,64,4,0 days 01:30:00
5305,KANPUR ANWAR,FARRUKHABAD,14:55:00,18:25:00,136,11,0 days 03:30:00
5306,FARRUKHABAD,KANPUR ANWAR,11:35:00,14:30:00,136,11,0 days 02:55:00
5309,BAREILLY CIT,LALKUA JN.,20:55:00,22:45:00,81,6,0 days 01:50:00
5310,LALKUA JN.,BAREILLY CIT,17:30:00,19:25:00,81,6,0 days 01:55:00
5521,JAMALPUR JN.,SAHARSA JN.,20:40:00,00:25:00,81,12,0 days 03:45:00
5522,SAHARSA JN.,JAMALPUR JN.,05:10:00,08:00:00,81,12,0 days 02:50:00
5613,JHALAWAR CIT,KOTA,06:00:00,08:05:00,85,11,0 days 02:05:00
5614,KOTA,JHALAWAR CIT,19:10:00,21:25:00,85,9,0 days 02:15:00
5619,NORTH LAKHIM,MURKEONG SEL,13:20:00,17:30:00,153,20,0 days 04:10:00
5620,MURKEONG SEL,NORTH LAKHIM,08:45:00,12:50:00,153,20,0 days 04:05:00
5631,GUWAHATI,SILCHAR,17:30:00,05:55:00,380,10,0 days 12:25:00
5632,SILCHAR,GUWAHATI,19:20:00,07:45:00,379,10,0 days 12:25:00
5715,NEW JALPAIGU,KISHANGANJ,03:00:00,05:10:00,87,2,0 days 02:10:00
5716,KISHANGANJ,NEW JALPAIGU,04:00:00,06:30:00,87,2,0 days 02:30:00
5719,KATIHAR JN.,SILIGURI JN.,23:15:00,03:15:00,204,11,0 days 04:00:00
5720,SILIGURI JN.,KATIHAR JN.,18:00:00,23:00:00,205,11,0 days 05:00:00
5863,RANGIYA JN.,RANGAPARA NO,18:20:00,21:25:00,89,15,0 days 03:05:00
5864,RANGAPARA NO,RANGIYA JN.,05:00:00,07:45:00,88,15,0 days 02:45:00
5865,RANGIYA JN.,MURKEONG SEL,08:15:00,20:20:00,426,53,0 days 12:05:00
5866,MURKEONG SEL,RANGIYA JN.,06:00:00,17:45:00,425,53,0 days 11:45:00
6001,CHENNAI EGMO,TIRUNELVELI,21:50:00,10:30:00,649,14,0 days 12:40:00
6002,TIRUNELVELI,CHENNAI EGMO,15:00:00,03:30:00,649,15,0 days 12:30:00
6006,ERNAKULAM. J,CHENNAI CENT,19:25:00,10:30:00,699,14,0 days 15:05:00
6009,SANTRAGACHI,PONDICHERRY,14:10:00,20:15:00,1844,27,1 days 06:05:00
6010,PONDICHERRY,SANTRAGACHI,19:15:00,04:30:00,1843,27,1 days 09:15:00
6041,CHENNAI CENT,QUILON,18:20:00,11:00:00,849,19,0 days 16:40:00
6042,QUILON,CHENNAI CENT,16:15:00,08:30:00,851,20,0 days 16:15:00
6043,CHENNAI CENT,QUILON,22:30:00,14:30:00,849,18,0 days 16:00:00
6044,QUILON,CHENNAI CENT,15:15:00,07:20:00,852,19,0 days 16:05:00
6046,QUILON,CHENNAI CENT,14:45:00,08:45:00,852,19,0 days 18:00:00
6047,CHENNAI CENT,QUILON,18:20:00,10:30:00,849,19,0 days 16:10:00
6048,QUILON,CHENNAI CENT,13:30:00,06:30:00,852,20,0 days 17:00:00
6049,CHENNAI EGMO,QUILON,14:45:00,05:50:00,855,19,0 days 15:05:00
6050,QUILON,CHENNAI EGMO,13:00:00,05:30:00,857,20,0 days 16:30:00
6053,KOCHUVELI,MANGALORE JN,18:35:00,05:10:00,626,14,0 days 10:35:00
6054,MANGALORE JN,KOCHUVELI,15:40:00,05:00:00,627,14,0 days 13:20:00
6057,SANTRAGACHI,CHENNAI CENT,23:50:00,05:30:00,1656,19,1 days 05:40:00
6058,CHENNAI CENT,SANTRAGACHI,15:15:00,19:00:00,1655,19,1 days 03:45:00
6065,CHENGALPATTU,MADURAI JN,17:20:00,06:45:00,500,13,0 days 13:25:00
6066,MADURAI JN,CHENGALPATTU,15:55:00,02:30:00,501,13,0 days 10:35:00
6067,CHENGALPATTU,COIMBATORE,19:45:00,05:40:00,522,9,0 days 09:55:00
6068,COIMBATORE,CHENGALPATTU,17:30:00,05:25:00,522,9,0 days 11:55:00
6081,COIMBATORE,POLLACHI,13:35:00,14:45:00,45,4,0 days 01:10:00
6082,POLLACHI,COIMBATORE,15:05:00,16:15:00,45,4,0 days 01:10:00
6412,DELHI-SAFDAR,PAYYANUR,11:10:00,16:20:00,2462,21,2 days 05:10:00
6512,MARIKUPPAM,BANASWADI,08:00:00,10:20:00,77,14,0 days 02:20:00
6513,BANGARPET JN,MARIKUPPAM,07:10:00,07:45:00,17,6,0 days 00:35:00
6541,YESVANTPUR J,PANDHARPUR,18:00:00,11:35:00,881,14,0 days 17:35:00
6542,PANDHARPUR,YESVANTPUR J,13:35:00,06:20:00,878,14,0 days 16:45:00
6547,YESVANTPUR J,ERNAKULAM. J,22:45:00,10:30:00,632,14,0 days 11:45:00
6548,ERNAKULAM. J,YESVANTPUR J,14:45:00,04:30:00,634,13,0 days 13:45:00
6579,YESVANTPUR J,VISAKHAPATNA,18:35:00,14:35:00,1089,21,0 days 20:00:00
6580,VISAKHAPATNA,YESVANTPUR J,13:45:00,09:05:00,1086,21,0 days 19:20:00
6581,YESVANTPUR J,BELGAUM,20:15:00,09:31:00,607,85,0 days 13:16:00
6582,BELGAUM,YESVANTPUR J,19:10:00,08:26:00,604,85,0 days 13:16:00
6591,YESVANTPUR J,HOSUR,06:30:00,08:00:00,62,9,0 days 01:30:00
6592,HOSUR,YESVANTPUR J,08:15:00,09:50:00,61,9,0 days 01:35:00
6593,WHITE FIELD,BAIYYAPPANAH,18:15:00,18:40:00,10,4,0 days 00:25:00
6594,BAIYYAPPANAH,WHITE FIELD,08:25:00,08:50:00,10,4,0 days 00:25:00
6595,YESVANTPUR J,DEVANHALLI,10:35:00,11:25:00,33,7,0 days 00:50:00
6596,DEVANHALLI,YESVANTPUR J,13:15:00,14:25:00,33,7,0 days 01:10:00
6647,KORBA,BILASPUR JN.,05:30:00,07:40:00,89,8,0 days 02:10:00
6648,BILASPUR JN.,KORBA,16:00:00,18:30:00,89,8,0 days 02:30:00
6769,PALGHAT TOWN,PALANI,04:50:00,07:30:00,116,11,0 days 02:40:00
6770,PALANI,PALGHAT TOWN,19:25:00,22:30:00,116,11,0 days 03:05:00
6851,KARAIKAL,NAGORE,06:00:00,06:20:00,10,3,0 days 00:20:00
6852,NAGORE,KARAIKAL,21:05:00,21:30:00,10,3,0 days 00:25:00
6853,KARAIKAL,NAGORE,14:45:00,15:08:00,10,3,0 days 00:23:00
6854,NAGORE,KARAIKAL,14:10:00,14:35:00,10,3,0 days 00:25:00
6919,HUBLI JN.,BIJAPUR JN,06:25:00,13:21:00,247,36,0 days 06:56:00
6920,BIJAPUR JN,HUBLI JN.,13:30:00,20:21:00,248,36,0 days 06:51:00
7005,HYDERABAD DE,RAXAUL JN.,21:30:00,17:30:00,2276,34,1 days 20:00:00
7006,RAXAUL JN.,HYDERABAD DE,01:30:00,23:15:00,2297,34,1 days 21:45:00
7007,SECUNDERABAD,DARBHANGA JN,22:00:00,13:45:00,2023,27,1 days 15:45:00
7008,DARBHANGA JN,SECUNDERABAD,05:00:00,22:10:00,2033,28,1 days 17:10:00
7016,KACHEGUDA,VISAKHAPATNA,18:45:00,07:50:00,670,18,0 days 13:05:00
7044,TIRUPATI,VISAKHAPATNA,16:45:00,07:50:00,735,11,0 days 15:05:00
7061,KAKINADA POR,VIJAYWADA JN,09:00:00,13:30:00,217,8,0 days 04:30:00
7062,VELANKANNI,TIRUPATI,15:00:00,03:30:00,437,14,0 days 12:30:00
7075,SECUNDERABAD,KAKINADA TOW,19:20:00,05:30:00,554,17,0 days 10:10:00
7076,KAKINADA TOW,SECUNDERABAD,18:10:00,06:00:00,553,17,0 days 11:50:00
7109,HYDERABAD DE,QUILON,15:55:00,23:10:00,1589,40,1 days 07:15:00
7110,QUILON,HYDERABAD DE,02:15:00,10:30:00,1593,40,1 days 08:15:00
7113,KARIM NAGAR,QUILON,16:00:00,23:10:00,1543,37,1 days 07:10:00
7133,HYDERABAD DE,QUILON,15:30:00,23:10:00,1508,39,1 days 07:40:00
7134,QUILON,HYDERABAD DE,02:15:00,10:30:00,1511,39,1 days 08:15:00
7141,HYDERABAD DE,QUILON,16:15:00,23:10:00,1560,39,1 days 06:55:00
7142,QUILON,HYDERABAD DE,02:15:00,08:30:00,1563,39,1 days 06:15:00
7146,TIRUPATI,KACHEGUDA,17:00:00,06:30:00,763,16,0 days 13:30:00
7149,SECUNDERABAD,GUWAHATI,07:30:00,08:45:00,2563,37,2 days 01:15:00
7211,KAKINADA TOW,QUILON,23:50:00,06:30:00,1433,36,1 days 06:40:00
7212,QUILON,KAKINADA TOW,09:30:00,13:30:00,1436,36,1 days 04:00:00
7213,VIJAYWADA JN,QUILON,04:00:00,06:30:00,1221,29,1 days 02:30:00
7214,QUILON,VIJAYWADA JN,09:30:00,09:35:00,1226,30,1 days 00:05:00
7217,NARASAPUR,QUILON,23:50:00,06:30:00,1360,37,1 days 06:40:00
7218,QUILON,NARASAPUR,09:30:00,13:45:00,1363,37,1 days 04:15:00
7410,TIRUPATI,AURANGABAD,09:15:00,09:30:00,1147,29,1 days 00:15:00
7417,TIRUPATI,NAGARSOL,07:30:00,11:55:00,1330,33,1 days 04:25:00
7418,NAGARSOL,TIRUPATI,22:00:00,04:00:00,1331,33,1 days 06:00:00
7425,KACHEGUDA,KAKINADA POR,18:45:00,06:00:00,537,15,0 days 11:15:00
7426,KAKINADA POR,KACHEGUDA,17:50:00,05:10:00,537,15,0 days 11:20:00
7429,SECUNDERABAD,TIRUPATI,18:30:00,07:00:00,742,11,0 days 12:30:00
7430,TIRUPATI,SECUNDERABAD,14:15:00,04:00:00,744,11,0 days 13:45:00
7431,KAKINADA TOW,TIRUPATI,20:10:00,07:10:00,597,13,0 days 11:00:00
7432,TIRUPATI,KAKINADA TOW,17:00:00,04:00:00,597,14,0 days 11:00:00
7435,KAKINADA TOW,SECUNDERABAD,18:00:00,06:00:00,555,14,0 days 12:00:00
7436,SECUNDERABAD,KAKINADA TOW,19:15:00,07:20:00,554,15,0 days 12:05:00
7438,KACHEGUDA,TATANAGAR JN,13:00:00,19:45:00,1533,28,1 days 06:45:00
7439,TATANAGAR JN,KACHEGUDA,22:50:00,05:00:00,1533,28,1 days 06:10:00
7487,TIRUPATI,VISAKHAPATNA,22:30:00,10:45:00,735,11,0 days 12:15:00
7505,AURANGABAD,QUILON,11:00:00,03:45:00,1973,49,1 days 16:45:00
7509,ADILABAD,QUILON,13:25:00,03:45:00,1886,47,1 days 14:20:00
7517,BIDAR,PANDHARPUR,22:30:00,07:45:00,350,9,0 days 09:15:00
7525,SILIGURI JN.,NEW BONGAIGA,12:00:00,21:15:00,322,33,0 days 09:15:00
7526,NEW BONGAIGA,SILIGURI JN.,05:00:00,15:00:00,322,33,0 days 10:00:00
7603,KACHEGUDA,KRISHNA RAJA,18:00:00,06:00:00,624,14,0 days 12:00:00
7604,KRISHNA RAJA,KACHEGUDA,15:25:00,06:55:00,624,14,0 days 15:30:00
7607,NANDED,TIRUPATI,18:45:00,14:00:00,1014,19,0 days 19:15:00
7608,TIRUPATI,NANDED,15:45:00,11:30:00,1016,19,0 days 19:45:00
7613,NIZAMABAD,QUILON,12:10:00,23:10:00,1636,38,1 days 11:00:00
7614,QUILON,NIZAMABAD,02:15:00,13:15:00,1641,39,1 days 11:00:00
7644,KAKINADA TOW,TIRUPATI,20:10:00,07:45:00,597,11,0 days 11:35:00
7645,RENIGUNTA JN,KAKINADA TOW,23:00:00,08:15:00,587,10,0 days 09:15:00
7757,SECUNDERABAD,VIJAYWADA JN,05:30:00,10:45:00,314,6,0 days 05:15:00
7758,VIJAYWADA JN,SECUNDERABAD,17:30:00,22:50:00,314,6,0 days 05:20:00
7941,KAKINADA TOW,RENIGUNTA JN,19:00:00,06:00:00,587,12,0 days 11:00:00
7942,TIRUPATI,KAKINADA TOW,19:00:00,05:30:00,597,13,0 days 10:30:00
8001,KHARAGPUR,JHARGRAM,10:10:00,10:45:00,39,2,0 days 00:35:00
8002,JHARGRAM,KHARAGPUR,18:25:00,19:10:00,39,2,0 days 00:45:00
8014,MIDNAPORE,KHARAGPUR,08:25:00,09:05:00,12,4,0 days 00:40:00
8017,KHARAGPUR,JHARGRAM,05:10:00,06:00:00,39,6,0 days 00:50:00
8018,JHARGRAM,KHARAGPUR,21:40:00,22:35:00,39,6,0 days 00:55:00
8035,KHARAGPUR,BALASORE,12:15:00,15:10:00,120,19,0 days 02:55:00
8036,BALASORE,KHARAGPUR,15:20:00,18:20:00,120,19,0 days 03:00:00
8051,KHARAGPUR,JHARGRAM,06:05:00,06:34:00,39,3,0 days 00:29:00
8052,JHARGRAM,KHARAGPUR,18:35:00,19:20:00,39,5,0 days 00:45:00
8061,SHALIMAR,JAIPUR JN.,20:20:00,06:35:00,1847,24,1 days 10:15:00
8062,JAIPUR JN.,SHALIMAR,12:45:00,23:20:00,1838,24,1 days 10:35:00
8063,KHARAGPUR,BANKURA,19:00:00,22:00:00,115,17,0 days 03:00:00
8064,YESVANTPUR J,HOWRAH JN.,01:00:00,09:10:00,2039,16,1 days 08:10:00
8065,KHARAGPUR,BANKURA,15:10:00,17:50:00,115,17,0 days 02:40:00
8082,BANKURA,BISHNUPUR,22:20:00,22:50:00,30,6,0 days 00:30:00
8087,BISHNUPUR,BANKURA,06:55:00,07:23:00,30,6,0 days 00:28:00
8101,CHAIBASA,CHAKARADHARP,21:15:00,22:35:00,40,5,0 days 01:20:00
8102,CHAKARADHARP,CHAIBASA,20:00:00,20:55:00,40,5,0 days 00:55:00
8301,SAMBALPUR JN,BANASWADI,09:30:00,16:40:00,1567,15,1 days 07:10:00
8302,BANASWADI,SAMBALPUR JN,00:30:00,06:35:00,1567,15,1 days 06:05:00
8403,PURI,SANTRAGACHI,21:25:00,06:45:00,495,9,0 days 09:20:00
8404,SANTRAGACHI,PURI,19:10:00,04:00:00,497,9,0 days 08:50:00
8501,VISAKHAPATNA,SECUNDERABAD,23:00:00,12:00:00,700,13,0 days 13:00:00
8502,SECUNDERABAD,VISAKHAPATNA,16:30:00,04:50:00,698,13,0 days 12:20:00
8511,KIRANDUL,VISAKHAPATNA,15:00:00,03:00:00,471,12,0 days 12:00:00
8512,VISAKHAPATNA,KIRANDUL,22:15:00,10:00:00,471,12,0 days 11:45:00
8567,VISAKHAPATNA,QUILON,23:00:00,03:45:00,1571,29,1 days 04:45:00
8568,QUILON,VISAKHAPATNA,05:45:00,12:30:00,1578,29,1 days 06:45:00
8573,VISAKHAPATNA,TIRUPATI,22:55:00,13:25:00,760,15,0 days 14:30:00
8574,TIRUPATI,VISAKHAPATNA,15:30:00,06:50:00,759,15,0 days 15:20:00
8581,BALHARSHAH,CHANDAFORT,23:30:00,23:50:00,11,2,0 days 00:20:00
8582,CHANDAFORT,BALHARSHAH,04:45:00,05:00:00,11,2,0 days 00:15:00
8617,RANCHI,ANAND VIHAR,14:05:00,13:55:00,1365,15,0 days 23:50:00
8618,ANAND VIHAR,RANCHI,22:50:00,22:30:00,1356,15,0 days 23:40:00
8627,HOWRAH JN.,RANCHI,12:50:00,22:10:00,484,13,0 days 09:20:00
8628,RANCHI,HOWRAH JN.,05:45:00,15:15:00,481,14,0 days 09:30:00
8872,DURG,GONDIA JN.,21:30:00,00:15:00,133,17,0 days 02:45:00
9003,BANDRA TERMI,HAZRAT NIZAM,16:05:00,06:00:00,1355,5,0 days 13:55:00
9004,HAZRAT NIZAM,BANDRA TERMI,16:15:00,06:10:00,1358,5,0 days 13:55:00
9005,MUMBAI CENTR,NEW DELHI,16:00:00,07:55:00,1373,4,0 days 15:55:00
9006,NEW DELHI,MUMBAI CENTR,14:50:00,06:55:00,1376,4,0 days 16:05:00
9011,BANDRA TERMI,BIKANER JN.,11:15:00,09:25:00,1209,20,0 days 22:10:00
9012,BIKANER JN.,BANDRA TERMI,14:50:00,12:45:00,1211,20,0 days 21:55:00
9433,BANDRA TERMI,GANDHIDHAM J,00:25:00,13:50:00,780,14,0 days 13:25:00
9434,GANDHIDHAM J,BANDRA TERMI,16:35:00,06:15:00,780,14,0 days 13:40:00
9621,AJMER JN.,BANDRA TERMI,06:30:00,04:45:00,1281,12,0 days 22:15:00
9622,BANDRA TERMI,AJMER JN.,06:15:00,03:25:00,1281,12,0 days 21:10:00
9721,JAIPUR JN.,UDAIPUR CITY,06:15:00,13:30:00,429,12,0 days 07:15:00
9722,UDAIPUR CITY,JAIPUR JN.,15:05:00,22:05:00,429,12,0 days 07:00:00
9761,SHRI GANGANA,SURATGARH JN,04:20:00,07:05:00,125,13,0 days 02:45:00
9809,KOTA,HAZRAT NIZAM,21:10:00,04:20:00,447,11,0 days 07:10:00
9810,HAZRAT NIZAM,KOTA,05:15:00,13:15:00,450,11,0 days 08:00:00
10103,CST-MUMBAI,MADGOAN JN.,07:10:00,18:45:00,590,20,0 days 11:35:00
10104,MADGOAN JN.,CST-MUMBAI,09:15:00,21:40:00,594,20,0 days 12:25:00
10111,CST-MUMBAI,MADGOAN JN.,23:05:00,10:45:00,590,20,0 days 11:40:00
10112,MADGOAN JN.,CST-MUMBAI,18:00:00,05:50:00,594,20,0 days 11:50:00
10215,MADGOAN JN.,ERNAKULAM. J,21:30:00,10:55:00,726,13,0 days 13:25:00
10216,ERNAKULAM. J,MADGOAN JN.,13:50:00,03:15:00,727,13,0 days 13:25:00
11001,SAI NAGAR SH,PANDHARPUR,05:00:00,12:15:00,348,12,0 days 07:15:00
11002,PANDHARPUR,SAI NAGAR SH,13:00:00,20:25:00,348,12,0 days 07:25:00
11003,DADAR,SAWANTWADI R,00:05:00,10:40:00,502,21,0 days 10:35:00
11004,SAWANTWADI R,DADAR,18:50:00,06:45:00,504,21,0 days 11:55:00
11005,DADAR,PONDICHERRY,21:30:00,07:15:00,1636,39,1 days 09:45:00
11006,PONDICHERRY,DADAR,20:50:00,05:40:00,1639,38,1 days 08:50:00
11007,CST-MUMBAI,PUNE JN.,07:00:00,11:05:00,191,12,0 days 04:05:00
11008,PUNE JN.,CST-MUMBAI,15:15:00,19:17:00,191,11,0 days 04:02:00
11009,CST-MUMBAI,PUNE JN.,14:30:00,18:40:00,191,12,0 days 04:10:00
11010,PUNE JN.,CST-MUMBAI,06:05:00,09:55:00,191,11,0 days 03:50:00
11011,LOKMANYA TIL,NANDED,12:05:00,04:45:00,723,16,0 days 16:40:00
11012,NANDED,LOKMANYA TIL,06:30:00,23:45:00,723,16,0 days 17:15:00
11013,LOKMANYA TIL,COIMBATORE,22:35:00,07:15:00,1515,34,1 days 08:40:00
11014,COIMBATORE,LOKMANYA TIL,08:55:00,14:30:00,1515,34,1 days 05:35:00
11015,LOKMANYA TIL,GORAKHPUR JN,22:45:00,07:05:00,1678,47,1 days 08:20:00
11016,GORAKHPUR JN,LOKMANYA TIL,19:00:00,04:20:00,1677,46,1 days 09:20:00
11017,LOKMANYA TIL,KARAIKAL,12:05:00,18:35:00,1631,30,1 days 06:30:00
11018,KARAIKAL,LOKMANYA TIL,14:00:00,23:45:00,1634,30,1 days 09:45:00
