Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
55616,SILCHAR,GUWAHATI,07:00:00,20:15:00,379,33,0 days 13:15:00
55661,MAISHASHAN,SILCHAR,18:45:00,21:35:00,60,12,0 days 02:50:00
55662,SILCHAR,MAISHASHAN,06:00:00,08:25:00,60,12,0 days 02:25:00
55663,AGARTALA,SILCHAR,10:45:00,20:00:00,256,35,0 days 09:15:00
55664,SILCHAR,AGARTALA,08:30:00,17:00:00,255,35,0 days 08:30:00
55665,SILCHAR,VANGAICHUNGP,11:00:00,13:30:00,67,10,0 days 02:30:00
55666,JIRIBAM,SILCHAR,13:55:00,16:15:00,56,9,0 days 02:20:00
55667,SILCHAR,BHAIRABI,16:45:00,20:50:00,103,14,0 days 04:05:00
55668,BHAIRABI,SILCHAR,05:30:00,09:20:00,103,14,0 days 03:50:00
55675,AGARTALA,DHARMANAGAR,17:45:00,21:45:00,140,14,0 days 04:00:00
55676,DHARMANAGAR,AGARTALA,05:45:00,09:45:00,140,14,0 days 04:00:00
55677,SILCHAR,DHARMANAGAR,17:30:00,22:45:00,115,22,0 days 05:15:00
55678,DHARMANAGAR,SILCHAR,05:30:00,10:20:00,115,22,0 days 04:50:00
55679,AGARTALA,DHARMANAGAR,06:15:00,10:00:00,140,14,0 days 03:45:00
55680,DHARMANAGAR,AGARTALA,15:45:00,20:00:00,140,14,0 days 04:15:00
55681,UDAIPUR,AGARTALA,08:45:00,10:00:00,42,5,0 days 01:15:00
55682,AGARTALA,UDAIPUR,06:30:00,07:40:00,42,5,0 days 01:10:00
55683,UDAIPUR,AGARTALA,20:00:00,21:15:00,42,5,0 days 01:15:00
55684,AGARTALA,UDAIPUR,17:45:00,18:50:00,42,5,0 days 01:05:00
55685,MAISHASHAN,SILCHAR,09:00:00,11:55:00,60,12,0 days 02:55:00
55686,SILCHAR,MAISHASHAN,15:25:00,18:05:00,60,12,0 days 02:40:00
55687,DULLABCHERRA,SILCHAR,17:25:00,22:05:00,101,10,0 days 04:40:00
55688,SILCHAR,DULLABCHERRA,05:00:00,08:45:00,101,10,0 days 03:45:00
55689,DULLABCHERRA,BADARPUR JN.,09:10:00,12:55:00,71,15,0 days 03:45:00
55690,BADARPUR JN.,DULLABCHERRA,13:45:00,16:45:00,71,15,0 days 03:00:00
55701,MALDA TOWN,KATIHAR JN.,07:00:00,10:45:00,90,20,0 days 03:45:00
55702,KATIHAR JN.,MALDA TOWN,14:30:00,17:30:00,90,20,0 days 03:00:00
55703,MALDA COURT,KATIHAR JN.,14:00:00,17:14:00,90,20,0 days 03:14:00
55704,KATIHAR JN.,MALDA COURT,08:15:00,11:35:00,90,20,0 days 03:20:00
55707,RADHIKAPUR,KATIHAR JN.,05:00:00,08:45:00,109,24,0 days 03:45:00
55708,KATIHAR JN.,RADHIKAPUR,18:35:00,22:20:00,109,24,0 days 03:45:00
55709,SINGHABAD,OLD MALDA,08:30:00,09:40:00,24,4,0 days 01:10:00
55710,OLD MALDA,SINGHABAD,06:15:00,07:20:00,24,4,0 days 01:05:00
55711,MALDA TOWN,NEW JALPAIGU,15:30:00,23:00:00,232,41,0 days 07:30:00
55712,NEW JALPAIGU,MALDA TOWN,06:00:00,14:00:00,232,41,0 days 08:00:00
55713,NEW JALPAIGU,RANGIYA JN.,07:20:00,22:20:00,363,45,0 days 15:00:00
55714,RANGIYA JN.,NEW JALPAIGU,03:35:00,16:00:00,363,45,0 days 12:25:00
55719,DEKARGAON,BHALUKPONG,11:00:00,13:10:00,49,8,0 days 02:10:00
55720,BHALUKPONG,DEKARGAON,13:50:00,16:00:00,49,8,0 days 02:10:00
55721,RANGIYA JN.,DEKARGAON,06:00:00,10:30:00,95,18,0 days 04:30:00
55722,DEKARGAON,RANGIYA JN.,16:45:00,21:15:00,94,18,0 days 04:30:00
55725,NEW JALPAIGU,ALIPUR DUAR,17:40:00,23:15:00,168,23,0 days 05:35:00
55726,ALIPUR DUAR,NEW JALPAIGU,05:00:00,10:05:00,168,23,0 days 05:05:00
55727,KATIHAR JN.,RADHIKAPUR,06:15:00,09:15:00,93,20,0 days 03:00:00
55728,RADHIKAPUR,KATIHAR JN.,10:15:00,13:10:00,94,20,0 days 02:55:00
55729,KATIHAR JN.,RADHIKAPUR,14:00:00,17:00:00,93,20,0 days 03:00:00
55730,RADHIKAPUR,KATIHAR JN.,18:30:00,21:50:00,94,20,0 days 03:20:00
